feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
0.3724121,0.36008742,0.6812315,0.37624073,0.5297125,0.5747851,0.56394875,0.598742,0.4486315,0.14689405,0.33648777,0.8573376,0.5352509,0.42176917
0.4175556,0.2947467,0.6548718,0.5116916,0.433754,0.17374378,0.46031716,0.6041868,0.58029073,0.21246436,0.39733055,0.6858418,0.462757,0.37915367
0.3515324,0.5599278,0.4600038,0.49502942,0.28392857,0.1770538,0.43903083,0.51679873,0.68845993,0.2669295,0.16181846,0.86118686,0.65076333,0.732281
0.3698304,0.7661476,0.38852957,0.47130063,0.48030305,0.26838914,0.6218756,0.36695546,0.66356444,0.27535346,0.1476445,0.688473,0.74273515,0.73015726
0.4669265,0.2725701,0.64272606,0.49959004,0.7388744,0.9099778,0.2513393,0.5964558,0.4686202,0.57521534,0.744763,0.40774348,0.20316634,0.31653446
0.69200563,0.7694739,0.36734724,0.55520266,0.46962672,0.40532863,0.5270119,0.29184297,0.752765,0.58776456,0.27761045,0.56715196,0.640149,0.77803266
0.59076345,0.3354111,0.25852606,0.4731489,0.23545401,0.7253021,0.19125754,0.31348604,0.37079993,0.30640736,0.5153979,0.658478,0.5685595,0.5049562
0.38680112,0.5769487,0.50726545,0.58615565,0.50159657,0.52782357,0.40308443,0.36018062,0.49247864,0.34866178,0.60176086,0.5353408,0.2525132,0.48046815
0.6724888,0.31885237,0.25733054,0.5198931,0.359285,0.7450935,0.54705775,0.35771438,0.49746776,0.6613277,0.44073275,0.5136661,0.7612155,0.500708
0.35027862,0.83136094,0.5642406,0.35317072,0.6177354,0.15201017,0.47117266,0.59905756,0.553617,0.6091901,0.25248575,0.5427382,0.59487236,0.70519304
0.37620893,0.39827266,0.5012686,0.5121472,0.4116454,0.30344966,0.42818123,0.36429563,0.6376864,0.44780365,0.3892497,0.81866574,0.49953365,0.69555223
0.2793007,0.18068157,0.48025462,0.66687083,0.35367277,0.7056937,0.16710299,0.34096852,0.53924966,0.48668817,0.64940417,0.37034124,0.26527512,0.2937668
0.8086731,0.68375784,0.19920066,0.50039375,0.30004823,0.25618565,0.3614473,0.5208123,0.5316721,0.46566826,0.25103745,0.6847306,0.675438,0.7331723
